index,Date,Time [h],Energy Consumption [kWh]Eimp63 (kWh),Energy Consumption [kWh]Eimp64 (kWh)
112,2017-08-05,16,0.30005,0.5000020000000001
113,2017-08-05,17,0.199952,0.39990400000000004
114,2017-08-05,18,0.199952,1.0000040000000001
115,2017-08-05,19,0.200074,0.30005000000000004
116,2017-08-05,20,0.099976,0.30005000000000004
117,2017-08-05,21,0.099976,0.6001000000000001
118,2017-08-05,22,0.200074,0.5000020000000001
119,2017-08-05,23,0.099976,0.39990400000000004
120,2017-08-06,0,0.199952,0.39990400000000004
121,2017-08-06,1,0.200074,0.30005000000000004
122,2017-08-06,2,0.199952,0.40014800000000006
123,2017-08-06,3,0.199952,0.19995200000000002
124,2017-08-06,4,0.200074,0.19995200000000002
125,2017-08-06,5,0.199952,0.100098
126,2017-08-06,6,0.200074,0.19995200000000002
127,2017-08-06,7,0.299928,0.099854
128,2017-08-06,8,0.099976,0.200196
129,2017-08-06,9,0.100098,0.099854
130,2017-08-06,10,0.099976,0.30005000000000004
131,2017-08-06,11,0.199952,0.39990400000000004
132,2017-08-06,12,0.200074,0.40014800000000006
133,2017-08-06,13,0.199952,0.30005000000000004
134,2017-08-06,14,0.500002,1.1999560000000002
135,2017-08-06,15,0.30005,1.3999080000000004
136,2017-08-06,16,0.299928,1.0000040000000001
137,2017-08-06,17,0.200074,0.40014800000000006
138,2017-08-06,18,0.299928,0.19995200000000002
139,2017-08-06,19,0.200074,0.19995200000000002
140,2017-08-06,20,0.399904,0.19995200000000002
141,2017-08-06,21,0.200074,0.9001500000000001
142,2017-08-06,22,0.099976,0.39990400000000004
143,2017-08-06,23,0.099976,0.39990400000000004
144,2017-08-07,0,0.200074,0.30005000000000004
145,2017-08-07,1,0.099976,0.30005000000000004
146,2017-08-07,2,0.099976,0.100098
147,2017-08-07,3,0.099976,0.19995200000000002
148,2017-08-07,4,0.200074,0.099854
149,2017-08-07,5,0.099976,0.200196
150,2017-08-07,6,0.199952,0.099854
151,2017-08-07,7,0.200074,0.19995200000000002
152,2017-08-07,8,0.099976,0.40014800000000006
153,2017-08-07,9,0.099976,0.39990400000000004
154,2017-08-07,10,0.099976,0.30005000000000004
155,2017-08-07,11,0.099976,0.5000020000000001
156,2017-08-07,12,0.100098,0.39990400000000004
157,2017-08-07,13,0.099976,0.30005000000000004
158,2017-08-07,14,0.099976,0.40014800000000006
159,2017-08-07,15,0.099976,0.39990400000000004
160,2017-08-07,16,0.200074,1.1001020000000001
161,2017-08-07,17,0.099976,1.5998600000000005
162,2017-08-07,18,0.199952,0.5000020000000001
163,2017-08-07,19,0.099976,0.40014800000000006
164,2017-08-07,20,0.30005,0.39990400000000004
165,2017-08-07,21,0.199952,0.6001000000000001
166,2017-08-07,22,0.200074,0.39990400000000004
167,2017-08-07,23,0.099976,0.30005000000000004
168,2017-08-08,0,0.199952,0.19995200000000002
169,2017-08-08,1,0.100098,0.100098
170,2017-08-08,2,0.099976,0.099854
171,2017-08-08,3,0.199952,0.19995200000000002
172,2017-08-08,4,0.099976,0.100098
173,2017-08-08,5,0.100098,0.19995200000000002
174,2017-08-08,6,0.199952,0.100098
175,2017-08-08,7,0.199952,0.19995200000000002
176,2017-08-08,8,0.100098,0.19995200000000002
177,2017-08-08,9,0.099976,0.40014800000000006
178,2017-08-08,10,0.099976,0.099854
179,2017-08-08,11,0.099976,0.19995200000000002
180,2017-08-08,12,0.099976,0.200196
181,2017-08-08,13,0.100098,1.2998100000000004
182,2017-08-08,14,0.099976,0.8000520000000001
183,2017-08-08,15,0.199952,1.0000040000000001
184,2017-08-08,16,0.099976,1.4001520000000003
185,2017-08-08,17,0.100098,0.8999060000000001
186,2017-08-08,18,0.099976,1.1999560000000002
