index;Date;Time [h];Energy Consumption [kWh]Eimp63 (kWh);Energy Consumption [kWh]Eimp64 (kWh)
0;01.08.2017;0;0.099976;0.40014800000000006
1;01.08.2017;1;0.200074;0.19995200000000002
2;01.08.2017;2;0.099976;0.19995200000000002
3;01.08.2017;3;0.099976;0.100098
4;01.08.2017;4;0.099976;0.099854
5;01.08.2017;5;0.200074;0.19995200000000002
6;01.08.2017;6;0.199952;0.30005000000000004
7;01.08.2017;7;0.099976;0.6001000000000001
8;01.08.2017;8;0.100098;0.39990400000000004
9;01.08.2017;9;0.199952;0.5000020000000001
10;01.08.2017;10;0.099976;0.40014800000000006
11;01.08.2017;11;0.099976;0.299806
12;01.08.2017;12;0.100098;0.100098
13;01.08.2017;13;0.199952;0.19995200000000002
14;01.08.2017;14;0.199952;0.30005000000000004
15;01.08.2017;15;0.200074;0.30005000000000004
16;01.08.2017;16;0.099976;1.5000060000000004
17;01.08.2017;17;0.099976;1.5998600000000005
18;01.08.2017;18;0.099976;1.2002000000000002
19;01.08.2017;19;0.100098;0.39990400000000004
20;01.08.2017;20;0.199952;0.5000020000000001
21;01.08.2017;21;0.199952;0.5000020000000001
22;01.08.2017;22;0.30005;0.6001000000000001
23;01.08.2017;23;0.099976;0.5000020000000001
24;02.08.2017;0;0.099976;0.39990400000000004
25;02.08.2017;1;0.100098;0.19995200000000002
26;02.08.2017;2;0.199952;0.100098
27;02.08.2017;3;0.099976;0.099854
28;02.08.2017;4;0.099976;0.200196
29;02.08.2017;5;0.100098;0.299806
30;02.08.2017;6;0.099976;0.200196
31;02.08.2017;7;0.199952;0.39990400000000004
32;02.08.2017;8;0.099976;0.19995200000000002
33;02.08.2017;9;0.100098;0.19995200000000002
34;02.08.2017;10;0.099976;0.6001000000000001
35;02.08.2017;11;1.000004;0.39990400000000004
36;02.08.2017;12;0.9000279999999998;0.7001980000000001
37;02.08.2017;13;0.7999299999999998;1.0000040000000001
38;02.08.2017;14;0.500002;0.6999540000000001
39;02.08.2017;15;0.200074;0.30005000000000004
40;02.08.2017;16;0.099976;1.1999560000000002
41;02.08.2017;17;0.099976;1.3999080000000004
42;02.08.2017;18;0.199952;0.30005000000000004
43;02.08.2017;19;0.100098;0.100098
44;02.08.2017;20;0.299928;0.19995200000000002
45;02.08.2017;21;0.200074;0.099854
46;02.08.2017;22;0.299928;0.7001980000000001
47;02.08.2017;23;0.099976;0.39990400000000004
48;03.08.2017;0;0.200074;0.39990400000000004
49;03.08.2017;1;0.099976;0.40014800000000006
50;03.08.2017;2;0.099976;0.30005000000000004
51;03.08.2017;3;0.099976;0.299806
52;03.08.2017;4;0.100098;0.30005000000000004
53;03.08.2017;5;0.099976;0.40014800000000006
54;03.08.2017;6;0.099976;0.39990400000000004
55;03.08.2017;7;0.099976;0.30005000000000004
56;03.08.2017;8;0.200074;0.30005000000000004
57;03.08.2017;9;0.099976;0.39990400000000004
58;03.08.2017;10;0.099976;0.39990400000000004
59;03.08.2017;11;0.099976;0.30005000000000004
60;03.08.2017;12;0.099976;0.19995200000000002
61;03.08.2017;13;0.100098;0.200196
62;03.08.2017;14;0.099976;0.19995200000000002
63;03.08.2017;15;0.099976;1.0000040000000001
64;03.08.2017;16;0.30005;1.0000040000000001
65;03.08.2017;17;0.299928;1.6999580000000005
66;03.08.2017;18;0.099976;0.39990400000000004
67;03.08.2017;19;0.200074;0.7001980000000001
68;03.08.2017;20;0.199952;0.7998080000000001
69;03.08.2017;21;0.30005;0.40014800000000006
70;03.08.2017;22;0.199952;0.39990400000000004
71;03.08.2017;23;0.099976;0.40014800000000006
72;04.08.2017;0;0.200074;0.299806
73;04.08.2017;1;0.099976;0.30005000000000004
74;04.08.2017;2;0.199952;0.40014800000000006
75;04.08.2017;3;0.200074;0.299806
76;04.08.2017;4;0.099976;0.30005000000000004
77;04.08.2017;5;0.199952;0.30005000000000004
78;04.08.2017;6;0.100098;0.30005000000000004
79;04.08.2017;7;0.299928;0.099854
80;04.08.2017;8;0.099976;0.200196
81;04.08.2017;9;0.100098;0.19995200000000002
82;04.08.2017;10;0.099976;0.39990400000000004
83;04.08.2017;11;0.099976;0.30005000000000004
84;04.08.2017;12;0.099976;0.19995200000000002
85;04.08.2017;13;0.200074;0.19995200000000002
86;04.08.2017;14;0.0;0.100098
87;04.08.2017;15;0.099976;0.19995200000000002
88;04.08.2017;16;0.199952;1.4001520000000003
89;04.08.2017;17;0.099976;1.1999560000000002
90;04.08.2017;18;0.200074;0.6999540000000001
91;04.08.2017;19;0.199952;0.39990400000000004
92;04.08.2017;20;0.200074;0.30005000000000004
93;04.08.2017;21;0.199952;0.8000520000000001
94;04.08.2017;22;0.099976;0.8000520000000001
95;04.08.2017;23;0.200074;0.39990400000000004
96;05.08.2017;0;0.099976;0.6999540000000001
97;05.08.2017;1;0.099976;0.40014800000000006
98;05.08.2017;2;0.099976;0.30005000000000004
99;05.08.2017;3;0.200074;0.39990400000000004
100;05.08.2017;4;0.099976;0.30005000000000004
101;05.08.2017;5;0.199952;0.30005000000000004
102;05.08.2017;6;0.200074;0.299806
103;05.08.2017;7;0.199952;0.30005000000000004
104;05.08.2017;8;0.400026;0.40014800000000006
105;05.08.2017;9;0.400026;0.299806
106;05.08.2017;10;0.199952;0.6001000000000001
107;05.08.2017;11;0.099976;0.6001000000000001
108;05.08.2017;12;0.099976;0.39990400000000004
109;05.08.2017;13;0.30005;1.3999080000000004
110;05.08.2017;14;0.199952;0.7001980000000001
111;05.08.2017;15;0.30005;0.39990400000000004
